iter	Passed	Remaining
0	1	163
1	2	139
2	3	128
3	4	118
4	6	115
5	7	112
6	8	110
7	9	108
8	10	107
9	11	105
10	12	103
11	14	102
12	15	101
13	16	100
14	17	98
15	18	98
16	19	96
17	20	95
18	22	94
19	23	93
20	24	91
21	25	90
22	26	89
23	27	88
24	29	87
25	30	86
26	31	84
27	32	84
28	33	82
29	34	81
30	36	80
31	37	79
32	38	77
33	39	76
34	40	75
35	41	74
36	42	72
37	43	71
38	45	70
39	46	69
40	47	68
41	47	66
42	48	64
43	50	63
44	51	62
45	52	61
46	53	60
47	54	59
48	55	58
49	56	56
50	58	55
51	59	54
52	60	53
53	61	52
54	62	51
55	63	49
56	64	49
57	66	47
58	67	46
59	68	45
60	69	44
61	70	43
62	72	42
63	73	41
64	74	40
65	75	39
66	77	37
67	78	36
68	79	35
69	80	34
70	81	33
71	83	32
72	84	31
73	85	30
74	87	29
75	88	27
76	89	26
77	90	25
78	91	24
79	92	23
80	94	22
81	95	21
82	97	19
83	98	18
84	99	17
85	101	16
86	102	15
87	103	14
88	105	12
89	106	11
90	107	10
91	108	9
92	110	8
93	111	7
94	113	5
95	114	4
96	115	3
97	116	2
98	118	1
99	119	0
